ID,Nama Dataset,Deskripsi Kebutuhan Data,Use Case Terkait,Kategori Data,Sektor Terkait,Sumber Primer,Sumber Sekunder (Backup),Sumber Tersier (Validasi/Cross-check),Format Data,Metode Akses,Status Akses,Frekuensi Update,PIC / Pemilik Data,Butuh Partnership/NDA?,Feasibility untuk POC,Risiko Utama,Mitigasi,Catatan Tambahan
D01,"Regulasi & Perizinan Nasional (UU, PP, Perpres, Permen)","Teks regulasi terkait perizinan investasi, pertambangan, perkebunan, migas untuk landasan sitasi jawaban AI",UC1 Map Chat; UC3 Pohon Industri Multilingual,Unstructured,"Lintas sektor (Mineral, Perkebunan, Migas)","peraturan.go.id (Ditjen PP, Kemenkumham)",JDIH BPK - peraturan.bpk.go.id,"JDIH per-K/L (jdih.esdm.go.id, jdih.setkab.go.id)",PDF + metadata HTML,Scrape (tidak ada API publik terdokumentasi),"Publik, tanpa login",Sewaktu-waktu (saat regulasi baru terbit),Kemenkumham (Ditjen PP); BPK,Tidak,Mudah - scraping PDF + ekstraksi teks,Tidak ada API resmi; status berlaku/dicabut perlu dicek manual,Gunakan peraturan.bpk.go.id sbg sumber utama krn ada tracking status (berlaku/diubah/dicabut),JDIH BPK direkomendasikan jadi sumber utama sitasi krn metadata paling lengkap & konsisten
D02,"Dokumen Legal BKPM (Kepmen 50/2023, Perka BKPM)",Landasan hukum PIR & template data yang wajib diisi daerah; rujukan kebijakan platform,UC1 Map Chat; UC2 Comp-set/Memo,Unstructured,Lintas sektor,ppid.bkpm.go.id / bkpm.go.id,peraturan.bpk.go.id (JDIH BPK),peraturan.go.id,PDF,Download langsung,"Publik, tanpa login",Sewaktu-waktu (saat ada Kepmen/Perka baru),BKPM / Kementerian Investasi dan Hilirisasi,Tidak,Mudah,Dokumen bisa direvisi tanpa notifikasi otomatis,Cross-check versi terbaru via JDIH BPK secara periodik,"Kepmen 50/2023 = landasan hukum utama PIR, perlu disitasi eksplisit di pitch"
D03,"Roadmap Hilirisasi / Pohon Industri (28 komoditas, 8 sektor)","Pohon industri per komoditas (nikel, dll), neraca bahan baku, proyeksi ekonomi untuk dijelaskan AI multilingual",UC3 Pohon Industri Multilingual; UC2 Comp-set/Memo,Unstructured,"Mineral (minerba), Migas, Perkebunan/Kehutanan, Perikanan",ppid.bkpm.go.id (Executive Summary per komoditas),bkpm.go.id - Gerbang Investasi Hilirisasi,Kemenko Perekonomian,PDF,Download langsung,"Publik, tanpa login",Per edisi (terakhir 2024-2025),BKPM / Kementerian Investasi dan Hilirisasi,Tidak,Mudah - PDF parsing untuk struktur pohon industri,Sebelumnya proposal menyebut 'Kemenko Marves' sbg pemilik - institusi ini sudah dibubarkan (Perpres 140/2024),Update referensi institusi ke BKPM/Kementerian Investasi dan Hilirisasi & Kemenko Perekonomian,"Total potensi investasi hilirisasi USD 618.1 miliar, >3 juta lapangan kerja (perlu dikonfirmasi ulang sebelum dikutip ke panel)"
D04,Laporan Realisasi Investasi PMA/PMDN (Kuartalan),Data realisasi investasi per sektor/lokasi/negara asal untuk konteks makro & memo perbandingan,UC2 Comp-set/Memo; UC4 Workspace Handoff,Structured,Lintas sektor,data.bkpm.go.id (Satu Data BKPM),bkpm.go.id/id/info/realisasi-investasi,BPS (cross-check makro),CSV / XLSX / JSON / PDF,Download file / API Satu Data,"Publik, tanpa login",Kuartalan,BKPM,Tidak,Mudah,Granularitas per-proyek tidak selalu tersedia (hanya agregat sektor/wilayah),Gabungkan dgn data PIR utk granularitas proyek individual,"Realisasi 2024: Rp1.714,2T (103.9% target); 2025: Rp1.931,2T (101.3% target) - terverifikasi"
D05,Katalog Proyek PIR (Potensi Investasi Regional),"180+ peluang investasi: lokasi, nilai investasi, NPV/IRR (sebagian), sektor, PIC, status kesiapan",UC1 Map Chat; UC2 Comp-set/Memo; UC4 Workspace Handoff,Structured + Geospatial,"Lintas sektor (termasuk Mineral, Perkebunan, Migas)",regionalinvestment.bkpm.go.id (Portal PIR),bkpm.go.id - Katalog Peluang Proyek Investasi (PDF),DPMPTSP Provinsi (data asal sebelum agregasi BKPM),Web (JS/React) + backend ArcGIS Geoportal,Scrape per halaman proyek (tidak ada API publik terdokumentasi),"Publik (view), tanpa login","Berkelanjutan (live, ditambah oleh DPMPTSP)","BKPM (data diinput DPMPTSP, disetujui pusat)",Tidak utk akses publik; Ya jika ingin akses API/admin portal langsung,"Sedang - perlu scraper custom per-ID proyek, field NPV/IRR tidak konsisten terisi",Jumlah '180+' proyek di proposal perlu diverifikasi live; field finansial tidak terstandardisasi,Bangun normalisasi schema sendiri; mulai dgn proyek yg datanya paling lengkap (mineral),Dataset PALING KRITIS - tulang punggung UC1 & UC2. Disarankan ajukan akses API/admin read ke BKPM
D06,"Indikator Ekonomi BPS (PDRB, Tenaga Kerja, Ekspor-Impor)",Konteks makroekonomi regional & sektoral untuk memperkaya jawaban AI & analisis memo,UC1 Map Chat; UC2 Comp-set/Memo,Structured,Lintas sektor,webapi.bps.go.id (WebAPI BPS resmi),bps.go.id (tabel statis),data.go.id (Satu Data Indonesia),JSON (REST API),API dengan API key (registrasi gratis),"Publik, registrasi email gratis","Bervariasi (sebagian tahunan, sebagian triwulanan)",Badan Pusat Statistik (BPS),Tidak,Mudah - API resmi terdokumentasi,Perlu tahu var_id & periode sebelum fetch; update tidak selalu diberi notifikasi,Bangun katalog var_id per indikator di awal proyek,API paling matang & reliable dari semua sumber - cocok jadi POC pertama utk validasi pipeline
D07,RTRW Provinsi/Kabupaten (Zonasi & Status Lahan),Layer zonasi tata ruang untuk menilai kesesuaian lokasi proyek dgn peruntukan lahan,UC1 Map Chat,Geospatial,Lintas sektor (krusial utk Mineral & Perkebunan),"gistaru.atrbpn.go.id (RTR Online / RDTR Interaktif, ATR/BPN)",Portal GIS Pemda/DPMPTSP per provinsi,BIG Ina-Geoportal (layer dasar),WebGIS / WMS,Scrape/WMS (terdeteksi WAF/bot-protection saat pengujian),"Publik (view), berpotensi diblokir bot-detection",Per penetapan Perda (tidak rutin),Kementerian ATR/BPN,Tidak utk publik; disarankan koordinasi resmi utk akses stabil,"Sedang-Sulit - WAF block terdeteksi saat riset, perlu strategi akses alternatif",RTR Online hanya tersedia utk daerah yg sudah punya Perda RDTR; akses bisa diblokir,Fallback ke WMS resmi atau request akses resmi ke ATR/BPN; gunakan Pemda GIS sbg alternatif per-wilayah,Bottleneck teknis nyata - perlu dites ulang live sebelum dijadikan komitmen ke panel
D08,Layer Dasar Geospasial & Batas Administratif,"Peta dasar (RBI), batas administratif hingga level desa untuk basemap platform",UC1 Map Chat,Geospatial,Lintas sektor,"tanahair.indonesia.go.id (Ina-Geoportal, BIG)",geoportal.big.go.id,portal.ina-sdi.or.id (ArcGIS FeatureServer),SHP/GDB (arsip RAR); ArcGIS FeatureServer,Download via registrasi gratis,"Publik, perlu registrasi akun (gratis)",Periodik,Badan Informasi Geospasial (BIG),Tidak (registrasi standar),Sedang - perlu akun & ada downtime maintenance berkala,Sebagian wilayah hanya tersedia skala kasar; portal pernah maintenance saat riset,Download awal & cache lokal; FeatureServer sbg alternatif akses langsung,Basemap fundamental - sebaiknya diunduh & disimpan lokal sejak Sprint-0
D09,Wilayah Izin Usaha Pertambangan (IUP/WIUP),Poligon konsesi tambang utk overlay status legalitas lahan pada proyek mineral (termasuk Porphyry Cu-Au),UC1 Map Chat,Geospatial,Mineral (Porphyry Cu-Au & komoditas tambang lain),momi.minerba.esdm.go.id (MOMI - Minerba One Map Indonesia),"MinerbaOne (pengganti MODI, peluncuran penuh Sep 2025)","USGS Porphyry Copper Geodatabase (data global, bukan otoritatif legal)","ArcGIS MapServer (REST, dengan token)",Viewer publik terbatas; layer poligon WIUP butuh token (HTTP 499 tanpa token),Sebagian publik (viewer); poligon detail terkunci token/partnership,Berkelanjutan (live),Kementerian ESDM (Ditjen Minerba),Ya - perlu token/kerja sama resmi ESDM utk akses poligon penuh,Sulit - tidak ada unduhan poligon terbuka; perlu kerja sama formal,"RISIKO TERBESAR - data legalitas konsesi tambang terkunci; MODI sedang migrasi ke MinerbaOne (estimasi 28 Sep 2025), endpoint lama berpotensi deprecated",Untuk POC awal: gunakan USGS global porphyry database sbg proxy area prospektif (bukan status legal); ajukan partnership resmi ke ESDM utk versi produksi,"Sampaikan eksplisit ke panel: ini bottleneck struktural yang butuh fasilitasi BKPM/ESDM, bukan keterbatasan teknis tim"
D10,Kawasan Ekonomi Khusus (KEK) & Kawasan Industri,"Lokasi, sektor, fasilitas, & realisasi investasi kawasan industri/KEK utk konteks lokasi proyek",UC1 Map Chat; UC2 Comp-set/Memo,Geospatial + Structured,Lintas sektor (terutama Mineral/Hilirisasi & Migas),kek.go.id (Dewan Nasional KEK),oss.go.id (tab lokasi KEK),"kpaii.kemenperin.go.id (Kawasan Industri, Kemenperin)",Web (per-KEK detail page),Scrape,"Publik, tanpa login (KEK); sebagian gated utk Kawasan Industri (SIINas)",Saat ada penetapan KEK baru,Dewan Nasional KEK (Kemenko Perekonomian); Kemenperin,Tidak utk KEK; mungkin perlu registrasi SIINas utk detail Kawasan Industri,Mudah-Sedang,Data Kawasan Industri non-KEK lebih sulit diakses scrape (SIINas registrasi-gated),"Mulai dgn 25 KEK aktif (data lebih terbuka), tambahkan Kawasan Industri belakangan","25 KEK aktif per akhir 2025, realisasi kumulatif ~Rp336T - data cukup matang utk POC"
D11,Data Kebencanaan (Hazard Maps - InaRISK),"Layer risiko bencana (banjir, gempa, longsor, dll) sbg salah satu layer geospasial yg dpt ditoggle investor",UC1 Map Chat,Geospatial,Lintas sektor,gis.bnpb.go.id/server/rest/services/inarisk (ArcGIS REST),inarisk.bnpb.go.id/portal/Unduh,-,"ArcGIS MapServer/ImageServer (REST, JSON/raster)","API REST langsung, tanpa token","Publik, tanpa login",Per asesmen (periodik),BNPB,Tidak,Mudah - API REST publik paling baik dari semua sumber geospasial yg diuji,Minim risiko teknis,-,DIREKOMENDASIKAN sbg contoh/model arsitektur ingestion - paling matang dari sisi akses API
D12,Data Prospektivitas Porphyry Cu-Au (Geosains Terbuka),Area prospektif mineral Porphyry Cu-Au di Indonesia utk model MPM & layer geologi pendukung,UC1 Map Chat (fokus komoditas prioritas),Geospatial,Mineral (Porphyry Cu-Au),USGS SIR 2010-5090-D (Porphyry Copper Assessment of SE Asia & Melanesia),Badan Geologi - GeoMap (geologi.esdm.go.id/geomap),"Literatur akademik (van Leeuwen 2018, SEG papers)",Esri File Geodatabase / SHP,Download langsung (USGS); SSO login (GeoMap ESDM),Publik penuh (USGS); registrasi gratis (GeoMap),Statis (USGS 2013) + update berkala (GeoMap),USGS (data internasional); Badan Geologi ESDM (data lokal),Tidak,Mudah - data GIS terbuka & machine-readable,"Data USGS bersifat estimasi regional (skala besar), bukan deteksi presisi per-titik",Gunakan sbg layer prospektivitas awal; integrasikan dgn model MPM (CNN/ViT) milik tim utk presisi lebih tinggi,SINERGIS dgn proyek MPM (mineral prospectivity mapping) tim yg sudah berjalan - dapat reuse riset data
D13,"Peta Geologi, Gravitasi, Magnetik & Radiometrik","Layer geologi & geofisika dasar (litologi, anomali gravitasi/magnetik) utk analisis eksplorasi mineral",UC1 Map Chat,Geospatial,Mineral,geologi.esdm.go.id/geomap (Pusat Survei Geologi),"onemap.esdm.go.id (ArcGIS REST, layer geologi/migas)",USGS (cross-check internasional),SHP skala 1:100k (544 file) + raster (4.756 peta),Download via akun SSO gratis,"Publik, perlu akun SSO; lisensi terbuka dgn syarat atribusi, dilarang dijual ulang",Periodik,"Badan Geologi, Kementerian ESDM",Tidak (cukup registrasi SSO),"Sedang - perlu akun, volume data besar (500+ file)",Volume data besar; sebagian endpoint ESDM lain (One Map/GeoMigas) eksplisit melarang unduhan file spasial,Prioritaskan kabupaten yg overlap dgn target Porphyry Cu-Au; gunakan REST/WMS utk endpoint yg melarang download,Data geofisika (gravitasi/magnetik) sangat relevan utk model MPM eksplorasi tim
D14,Neraca Sumber Daya & Cadangan Mineral (per komoditas),Status cadangan & sumber daya mineral per komoditas/wilayah utk konteks jawaban AI & memo,UC1 Map Chat; UC3 Pohon Industri Multilingual,Structured + Geospatial,Mineral,"georima.esdm.go.id (GeoRIMA, PSDMBP)",Kepmen ESDM No. 228.K/MB.03/MEM.G/2025 (Neraca Nasional),MinerbaOne,"Web/App (view-only, tanpa API/unduhan terdokumentasi)","Lihat langsung di web/app, tidak ada ekspor data","Publik (view), tanpa login",Tahunan (neraca),"PSDMBP, Badan Geologi ESDM",Disarankan utk akses data terstruktur/API,"Sedang-Sulit - tidak ada ekspor data, perlu scraping manual per-query atau request resmi",Tidak ada API/unduhan resmi; data hanya bisa dilihat per-query,Manual extraction utk POC; ajukan akses data resmi ke PSDMBP utk versi produksi,-
D15,Direktori Stakeholder & Analis BKPM,"Kontak analis BKPM per sektor/wilayah, PIC proyek PIR, kontak eskalasi DPMPTSP utk fitur human handoff",UC4 Workspace Handoff,Structured,Lintas sektor (organisasional),Struktur Organisasi BKPM (bkpm.go.id/struktur-organisasi),PIC per proyek PIR (tercantum di tiap halaman proyek),Direktori DPMPTSP Provinsi,Web (struktur organisasi - publik); data kontak PIC internal,Scrape (struktur publik); akses langsung butuh kerja sama internal,"Sebagian publik (struktur), sebagian internal (kontak detail & jadwal analis)",Sewaktu-waktu (rotasi jabatan),BKPM (internal HR/operasional),Ya - data kontak detail & ketersediaan analis bersifat internal,Sulit utk versi penuh - hanya struktur tingkat tinggi yg bisa diakses publik,Use case PALING bergantung pada kerja sama BKPM; tidak bisa di-scrape scr reliable,"Framing ke panel: Wilaya menyediakan demand-intelligence, BKPM menyediakan direktori terotentikasi","Sampaikan ke panel sbg item yg butuh komitmen kerja sama data dari BKPM, bukan gap teknis tim"
D16,Data Makroekonomi Sektoral Tambahan (Cross-check),"Data pendukung lintas-sumber utk validasi konsistensi angka makro yg dikutip AI (PDRB, ekspor komoditas)",UC2 Comp-set/Memo,Structured,Lintas sektor,"data.go.id (Satu Data Indonesia, portal nasional)",katalog.data.go.id (CKAN API),webapi.bps.go.id,CSV/JSON (CKAN API),API CKAN terdokumentasi,"Publik, sebagian butuh registrasi",Bervariasi per dataset,Kementerian/Lembaga terkait (agregator: BPS/Kemenkominfo),Tidak,Mudah,Kualitas & frekuensi update bervariasi antar dataset,"Gunakan sbg cross-check sekunder, bukan sumber utama",-